timestamp_ms,temperature_c,vibration_rms_g,vibration_peak_g
0,40.46,0.1145,0.2058
1000,38.44,0.0493,0.1511
2000,41.13,0.0973,0.2437
3000,41.41,0.0734,0.1486
4000,37.07,0.0788,0.1482
5000,38.05,0.0589,0.2071
6000,40.19,0.0733,0.2181
7000,39.53,0.106,0.2024
8000,39.97,0.0917,0.0957
9000,38.72,0.1146,0.2069
10000,41.32,0.1035,0.1283
11000,41.17,0.0888,0.1918
12000,40.1,0.1149,0.1088
13000,41.69,0.0888,0.2023
14000,40.7,0.0966,0.1397
15000,38.71,0.0741,0.1159
16000,40.55,0.0813,0.2157
17000,38.56,0.0661,0.1921
18000,41.32,0.0998,0.1493
19000,39.93,0.0564,0.2526
20000,39.72,0.0956,0.158
21000,38.98,0.0762,0.1816
22000,41.83,0.1034,0.1934
23000,39.77,0.095,0.149
24000,39.36,0.1164,0.2036
25000,39.47,0.0946,0.1533
26000,40.8,0.0486,0.1594
27000,40.55,0.0787,0.2481
28000,40.62,0.0566,0.128
29000,40.65,0.0696,0.0594
30000,43.21,0.1102,0.2605
31000,39.39,0.0928,0.3075
32000,39.23,0.066,0.1597
33000,38.78,0.0597,0.0832
34000,40.92,0.0807,0.1645
35000,41.69,0.0557,0.1657
36000,39.83,0.0666,0.1705
37000,38.74,0.0862,0.1243
38000,38.76,0.1031,0.209
39000,40.98,0.0922,0.2062
40000,41.11,0.0342,0.1053
41000,40.81,0.0861,0.215
42000,39,0.0814,0.2826
43000,40.35,0.0883,0.1886
44000,40.18,0.1123,0.1631
45000,40.33,0.0387,0.1729
46000,41.31,0.0682,0.2108
47000,40.34,0.0918,0.0935
48000,41.02,0.0484,0.1882
49000,40.1,0.1095,0.1605
50000,40.43,0.0874,0.2724
51000,40.95,0.0969,0.1713
52000,37.81,0.0686,0.2634
53000,39.52,0.0963,0.1248
54000,39.29,0.1014,0.2094
55000,39.04,0.0847,0.196
56000,39.59,0.0847,0.1365
57000,42.24,0.0854,0.1889
58000,38.7,0.0627,0.2406
59000,41.45,0.077,0.1638
60000,37.48,0.0769,0.0954
61000,39.5,0.0877,0.1791
62000,40.24,0.1,0.1349
63000,40.88,0.0588,0.1629
64000,41.07,0.0775,0.1759
65000,41.19,0.1096,0.0947
66000,39.48,0.0651,0.0992
67000,39.31,0.0636,0.2041
68000,41.29,0.084,0.1539
69000,39.71,0.0969,0.0518
70000,38.09,0.0802,0.2192
71000,38.3,0.1066,0.1936
72000,38.62,0.0971,0.1443
73000,40.75,0.0968,0.1142
74000,40.21,0.0911,0.2218
75000,41.04,0.1266,0.1975
76000,39.36,0.0759,0.2991
77000,40.24,0.0399,0.201
78000,40.94,0.1121,0.1994
79000,39.54,0.0708,0.1717
80000,40.69,0.0822,0.2208
81000,39.01,0.1062,0.2113
82000,39.46,0.048,0.2426
83000,39.43,0.055,0.1539
84000,38.21,0.048,0.1582
85000,40.73,0.0641,0.156
86000,39.3,0.0888,0.2195
87000,40.02,0.0905,0.2549
88000,40.72,0.0855,0.1571
89000,40.67,0.0517,0.1588
90000,41,0.0338,0.1957
91000,39.85,0.0811,0.1677
92000,39.37,0.0706,0.2276
93000,39.88,0.0892,0.0674
94000,37.47,0.094,0.1387
95000,37.83,0.0828,0.1409
96000,38.02,0.0952,0.064
97000,38.5,0.0846,0.1318
98000,40.6,0.0906,0.1342
99000,38.64,0.0659,0.1699
100000,39.43,0.0764,0.2356
101000,41.95,0.0839,0.1677
102000,39.47,0.0964,0.1285
103000,41.11,0.0721,0.1772
104000,38.6,0.0904,0.2325
105000,39.69,0.0747,0.1312
106000,38.57,0.0776,0.1345
107000,39.49,0.0966,0.2079
108000,41.26,0.0401,0.1689
109000,37.41,0.0541,0.2124
110000,40.65,0.0504,0.1793
111000,40.36,0.0333,0.2151
112000,39.11,0.0664,0.1282
113000,37.83,0.095,0.1794
114000,40.11,0.0743,0.1695
115000,39.21,0.084,0.1192
116000,40.35,0.1018,0.1018
117000,40.03,0.1066,0.2143
118000,42.4,0.0786,0.1625
119000,39.64,0.1071,0.1289
120000,38.46,0.0818,0.1752
121000,40.27,0.0633,0.2364
122000,40.33,0.0681,0.066
123000,42.04,0.0504,0.1052
124000,41.25,0.0622,0.1339
125000,40.54,0.0728,0.2531
126000,42.19,0.0961,0.1941
127000,38.22,0.1144,0.2184
128000,39.04,0.0524,0.123
129000,38.61,0.0879,0.124
130000,39.42,0.0592,0.2024
131000,37.93,0.0895,0.1829
132000,40.95,0.0774,0.2074
133000,39.67,0.0434,0.1706
134000,37.79,0.0986,0.1939
135000,38.48,0.0679,0.1879
136000,40.47,0.0693,0.2189
137000,41.26,0.0586,0.2204
138000,43,0.0669,0.099
139000,44.37,0.0886,0.0676
140000,40.62,0.0762,0.2301
141000,38.52,0.0866,0.2394
142000,36.8,0.0872,0.129
143000,40.4,0.1064,0.087
144000,38.78,0.0731,0.185
145000,39.38,0.0505,0.2265
146000,39.08,0.1013,0.2699
147000,39.79,0.0734,0.2058
148000,41.6,0.1023,0.1614
149000,40.24,0.0877,0.1353
150000,39.76,0.0774,0.1806
151000,38.45,0.087,0.165
152000,37.49,0.119,0.1292
153000,39.27,0.1215,0.2824
154000,39.92,0.0814,0.2693
155000,42.65,0.0832,0.2368
156000,40.2,0.1015,0.134
157000,41.47,0.0631,0.2228
158000,39.25,0.0867,0.212
159000,38.22,0.0795,0.2021
160000,38.55,0.0863,0.2425
161000,38.91,0.0633,0.2118
162000,43.19,0.0482,0.217
163000,38.77,0.0385,0.2118
164000,41.26,0.0577,0.197
165000,38.65,0.0708,0.0908
166000,41.4,0.0741,0.1842
167000,40.58,0.1187,0.1522
168000,39.77,0.1021,0.116
169000,39.94,0.0608,0.2641
170000,39.02,0.087,0.2664
171000,40.67,0.0719,0.248
172000,39.32,0.0743,0.1928
173000,38.16,0.0837,0.2475
174000,38.08,0.0924,0.1806
175000,40.26,0.0732,0.1901
176000,42.37,0.1013,0.1253
177000,40.24,0.0572,0.1998
178000,39.82,0.0801,0.183
179000,40.43,0.132,0.1149
180000,41.96,0.0845,0.1774
181000,40.33,0.1087,0.176
182000,39.38,0.0818,0.2699
183000,41.66,0.0916,0.2247
184000,40.64,0.0789,0.1806
185000,42.3,0.0766,0.1924
186000,40.27,0.0644,0.1822
187000,38.16,0.0886,0.1699
188000,37.95,0.063,0.1259
189000,42.48,0.0933,0.1724
190000,42.59,0.1017,0.1427
191000,39.73,0.0873,0.1175
192000,39.43,0.0743,0.2056
193000,42.19,0.0891,0.1996
194000,38.34,0.0738,0.0907
195000,38.66,0.0987,0.1739
196000,40.96,0.0434,0.2298
197000,39.41,0.0733,0.233
198000,39.99,0.0402,0.2313
199000,39.75,0.0501,0.1819
200000,40.51,0.1073,0.1377
201000,42.11,0.0979,0.1258
202000,40.14,0.0656,0.1972
203000,40.97,0.0499,0.199
204000,36.92,0.0207,0.2444
205000,39.93,0.0691,0.235
206000,38.74,0.1284,0.1734
207000,38.17,0.0887,0.1178
208000,38.68,0.0688,0.164
209000,39.5,0.0893,0.1909
210000,41.37,0.0488,0.1699
211000,38.01,0.0741,0.1511
212000,40.05,0.082,0.1926
213000,39.27,0.0783,0.1548
214000,39.51,0.0958,0.1486
215000,41.5,0.0869,0.1956
216000,40.81,0.0934,0.1599
217000,42.01,0.0662,0.1922
218000,39.77,0.098,0.1937
219000,38.96,0.1126,0.123
220000,39.66,0.0606,0.1559
221000,40.36,0.0622,0.2519
222000,40.26,0.1067,0.1219
223000,38.37,0.0762,0.0742
224000,40.14,0.1081,0.0869
225000,40.34,0.0711,0.1815
226000,43.78,0.1091,0.1815
227000,42.82,0.0826,0.1741
228000,38.72,0.0852,0.2407
229000,39.57,0.1113,0.0464
230000,37.8,0.0728,0.1998
231000,39.11,0.0612,0.2581
232000,40.47,0.071,0.1236
233000,41.81,0.089,0.161
234000,38.91,0.0487,0.1424
235000,39.02,0.0927,0.1353
236000,36.78,0.0692,0.1637
237000,39.76,0.103,0.2514
238000,38.41,0.0321,0.2719
239000,39.21,0.0643,0.1632
240000,38.68,0.0463,0.2753
241000,39.86,0.0635,0.1818
242000,37.36,0.085,0.2677
243000,37.8,0.0764,0.1753
244000,43.19,0.0749,0.1866
245000,38.07,0.0768,0.1983
246000,38.35,0.0841,0.3389
247000,42.76,0.0598,0.2226
248000,44.36,0.0941,0.1446
249000,38.24,0.0933,0.2284
250000,39.45,0.0877,0.1619
251000,40.51,0.0911,0.1555
252000,42.59,0.0859,0.2254
253000,38.52,0.1207,0.1816
254000,39.63,0.0783,0.1939
255000,41.17,0.0739,0.1807
256000,40.65,0.0649,0.1968
257000,39.44,0.0594,0.2012
258000,39.8,0.0551,0.0832
259000,37.94,0.0622,0.2133
260000,39.64,0.0786,0.1309
261000,39.6,0.0867,0.1079
262000,40.35,0.081,0.1771
263000,39.17,0.0647,0.1842
264000,40.71,0.098,0.1453
265000,41.52,0.0948,0.2216
266000,40.23,0.0768,0.1129
267000,40.53,0.0669,0.1597
268000,40.08,0.091,0.1508
269000,40,0.0838,0.1777
270000,60.09,0.3013,0.8556
271000,60.78,0.3511,0.6427
272000,59.41,0.3935,0.616
273000,67.9,0.3944,0.6722
274000,60.49,0.3493,0.5818
275000,66.76,0.3304,0.4456
276000,58.18,0.2992,0.6538
277000,54.5,0.3506,0.5947
278000,62,0.372,0.7673
279000,57.17,0.3806,0.6821
280000,58.46,0.2924,0.663
281000,58.57,0.3512,0.7168
282000,63.06,0.3487,0.6468
