timestamp,temperature_c,motion,light_lux,sound,hour,weekday,occupied,energy_kwh
2026-01-01T08:00:00,24.2,1,180,0.22,8,3,1,0.72
2026-01-01T12:00:00,26.1,0,620,0.05,12,3,0,0.31
2026-01-01T18:00:00,27.3,1,110,0.35,18,3,1,0.91
2026-01-01T22:00:00,25.0,1,35,0.28,22,3,1,0.82
2026-01-02T03:00:00,23.5,0,5,0.01,3,4,0,0.18
2026-01-02T07:00:00,23.8,1,70,0.18,7,4,1,0.61
2026-01-02T14:00:00,26.8,0,700,0.04,14,4,0,0.28
2026-01-02T19:00:00,27.7,1,95,0.31,19,4,1,0.96
2026-01-03T09:00:00,24.8,1,240,0.25,9,5,1,0.75
2026-01-03T15:00:00,27.1,0,680,0.03,15,5,0,0.29
2026-01-03T21:00:00,25.8,1,28,0.26,21,5,1,0.84
2026-01-04T02:00:00,22.9,0,3,0.01,2,6,0,0.15
